Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,736.16,832.13,9.92,4.0,eia.gov,false,
2023-01-01 01:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,730.77,826.11,10.39,4.24,eia.gov,false,
2023-01-01 02:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,728.9,823.13,11.07,4.42,eia.gov,false,
2023-01-01 03:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,726.78,821.03,10.92,4.29,eia.gov,false,
2023-01-01 04:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,716.34,810.31,11.29,4.38,eia.gov,false,
2023-01-01 05:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,708.0,801.37,11.89,4.63,eia.gov,false,
2023-01-01 06:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,703.72,797.23,11.92,4.47,eia.gov,false,
2023-01-01 07:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,701.99,795.44,12.1,4.25,eia.gov,false,
2023-01-01 08:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,705.21,799.26,11.64,3.93,eia.gov,false,
2023-01-01 09:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,705.4,799.14,11.89,4.12,eia.gov,false,
2023-01-01 10:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,705.34,798.51,12.28,4.21,eia.gov,false,
2023-01-01 11:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,712.05,805.74,11.76,4.05,eia.gov,false,
2023-01-01 12:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,718.72,813.18,11.06,3.62,eia.gov,false,
2023-01-01 13:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,719.38,814.05,11.02,3.56,eia.gov,false,
2023-01-01 14:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,723.18,818.17,10.79,3.52,eia.gov,false,
2023-01-01 15:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,733.88,829.9,9.99,3.3,eia.gov,false,
2023-01-01 16:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,735.19,831.66,9.77,3.14,eia.gov,false,
2023-01-01 17:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,737.98,834.7,9.48,2.99,eia.gov,false,
2023-01-01 18:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,738.46,835.08,9.56,3.03,eia.gov,false,
2023-01-01 19:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,741.69,838.41,9.36,2.87,eia.gov,false,
2023-01-01 20:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,736.59,833.36,9.45,2.8,eia.gov,false,
2023-01-01 21:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,741.8,838.06,9.72,2.87,eia.gov,false,
2023-01-01 22:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,742.22,838.28,9.85,2.92,eia.gov,false,
2023-01-01 23:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,740.69,837.38,9.46,3.25,eia.gov,false,
2023-01-02 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,739.81,836.31,9.65,3.41,eia.gov,false,
2023-01-02 01:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,736.56,833.11,9.64,3.22,eia.gov,false,
2023-01-02 02:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,732.81,829.1,9.81,3.12,eia.gov,false,
2023-01-02 03:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,738.53,835.25,9.37,2.8,eia.gov,false,
2023-01-02 04:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,735.14,831.32,9.75,2.6,eia.gov,false,
2023-01-02 05:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,732.16,828.11,10.01,2.44,eia.gov,false,
2023-01-02 06:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,733.48,830.57,9.08,1.86,eia.gov,false,
2023-01-02 07:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,735.96,832.97,9.06,1.93,eia.gov,false,
2023-01-02 08:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,728.58,824.9,9.68,1.9,eia.gov,false,
2023-01-02 09:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,726.18,822.53,9.59,1.91,eia.gov,false,
2023-01-02 10:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,725.43,821.59,9.6,1.89,eia.gov,false,
2023-01-02 11:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,729.51,825.07,9.74,2.14,eia.gov,false,
2023-01-02 12:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,726.48,821.82,10.1,2.62,eia.gov,false,
2023-01-02 13:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,733.72,829.59,9.78,2.6,eia.gov,false,
2023-01-02 14:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,727.21,822.29,10.56,3.05,eia.gov,false,
2023-01-02 15:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,733.1,828.42,10.39,3.15,eia.gov,false,
2023-01-02 16:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,747.89,844.34,9.28,2.78,eia.gov,false,
2023-01-02 17:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,751.3,847.79,9.14,2.8,eia.gov,false,
2023-01-02 18:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,754.08,850.71,8.99,2.8,eia.gov,false,
2023-01-02 19:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,754.04,850.89,8.82,2.76,eia.gov,false,
2023-01-02 20:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,751.92,848.77,8.89,2.81,eia.gov,false,
2023-01-02 21:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,739.09,834.82,9.81,3.31,eia.gov,false,
2023-01-02 22:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,743.69,839.37,9.75,3.51,eia.gov,false,
2023-01-02 23:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,748.09,844.1,9.61,3.79,eia.gov,false,
2023-01-03 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,747.43,843.27,9.7,3.92,eia.gov,false,
2023-01-03 01:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,751.17,847.18,9.36,3.83,eia.gov,false,
2023-01-03 02:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,746.01,841.79,9.6,3.8,eia.gov,false,
2023-01-03 03:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,731.95,826.55,10.52,4.23,eia.gov,false,
2023-01-03 04:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,720.98,815.0,11.05,4.56,eia.gov,false,
2023-01-03 05:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,722.98,816.45,11.33,4.43,eia.gov,false,
2023-01-03 06:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,715.67,809.05,11.59,4.33,eia.gov,false,
2023-01-03 07:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,717.79,811.65,11.33,4.14,eia.gov,false,
2023-01-03 08:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,720.42,815.1,10.69,3.8,eia.gov,false,
2023-01-03 09:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,727.52,821.5,11.01,4.03,eia.gov,false,
2023-01-03 10:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,707.74,801.15,11.93,4.27,eia.gov,false,
2023-01-03 11:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,718.26,811.75,11.67,4.15,eia.gov,false,
2023-01-03 12:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,735.33,830.23,10.31,3.62,eia.gov,false,
2023-01-03 13:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,743.25,838.64,9.87,3.48,eia.gov,false,
2023-01-03 14:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,744.7,840.03,9.85,3.63,eia.gov,false,
2023-01-03 15:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,747.82,843.17,9.72,3.66,eia.gov,false,
2023-01-03 16:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,756.56,852.78,8.93,3.37,eia.gov,false,
2023-01-03 17:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,752.41,848.19,9.33,3.69,eia.gov,false,
2023-01-03 18:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,753.8,849.49,9.32,3.71,eia.gov,false,
2023-01-03 19:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,753.69,849.45,9.18,3.67,eia.gov,false,
2023-01-03 20:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,775.83,871.19,8.97,3.51,eia.gov,false,
2023-01-03 21:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,795.31,889.49,9.28,3.63,eia.gov,false,
2023-01-03 22:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,800.78,895.34,8.84,3.51,eia.gov,false,
2023-01-03 23:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,793.5,888.61,8.54,3.62,eia.gov,false,
2023-01-04 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,761.75,857.33,8.93,3.85,eia.gov,false,
2023-01-04 01:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,749.63,844.71,9.51,4.16,eia.gov,false,
2023-01-04 02:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,746.38,841.35,9.68,4.08,eia.gov,false,
2023-01-04 03:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,742.36,837.5,9.54,3.68,eia.gov,false,
2023-01-04 04:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,741.68,837.31,9.13,3.34,eia.gov,false,
2023-01-04 05:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,743.77,840.2,8.5,2.67,eia.gov,false,
2023-01-04 06:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,741.93,839.14,8.04,2.03,eia.gov,false,
2023-01-04 07:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,744.18,841.76,7.83,1.47,eia.gov,false,
2023-01-04 08:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,749.18,847.48,7.29,0.91,eia.gov,false,
2023-01-04 09:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,752.47,850.99,7.05,0.85,eia.gov,false,
2023-01-04 10:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,745.88,843.49,7.91,1.22,eia.gov,false,
2023-01-04 11:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,749.47,846.33,8.48,1.89,eia.gov,false,
2023-01-04 12:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,757.71,854.97,8.15,1.88,eia.gov,false,
2023-01-04 13:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,767.34,864.93,7.74,1.99,eia.gov,false,
2023-01-04 14:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,764.82,862.21,8.0,2.22,eia.gov,false,
2023-01-04 15:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,766.73,864.17,7.92,2.32,eia.gov,false,
2023-01-04 16:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,762.52,859.58,8.25,2.51,eia.gov,false,
2023-01-04 17:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,758.09,854.8,8.68,2.63,eia.gov,false,
2023-01-04 18:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,748.29,844.31,9.32,3.0,eia.gov,false,
2023-01-04 19:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,747.78,843.59,9.44,3.06,eia.gov,false,
2023-01-04 20:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,759.14,855.8,8.58,2.79,eia.gov,false,
2023-01-04 21:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,757.49,854.14,8.73,2.72,eia.gov,false,
2023-01-04 22:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,760.18,857.01,8.61,2.59,eia.gov,false,
2023-01-04 23:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,768.57,865.82,8.09,2.68,eia.gov,false,
2023-01-05 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,764.97,861.98,8.42,2.94,eia.gov,false,
2023-01-05 01:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,765.33,862.33,8.4,2.94,eia.gov,false,
2023-01-05 02:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,763.71,860.53,8.57,3.0,eia.gov,false,
2023-01-05 03:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,751.09,847.38,9.2,2.77,eia.gov,false,
2023-01-05 04:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,747.53,843.05,9.58,2.91,eia.gov,false,
2023-01-05 05:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,746.53,842.48,9.28,2.56,eia.gov,false,
2023-01-05 06:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,759.26,856.79,7.88,1.83,eia.gov,false,
2023-01-05 07:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,758.75,856.03,8.06,1.87,eia.gov,false,
2023-01-05 08:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,752.68,849.64,8.41,2.02,eia.gov,false,
2023-01-05 09:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,754.45,851.43,8.33,2.05,eia.gov,false,
2023-01-05 10:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,749.8,845.98,8.96,2.48,eia.gov,false,
2023-01-05 11:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,754.86,851.08,8.88,2.79,eia.gov,false,
2023-01-05 12:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,734.0,830.73,9.25,3.73,eia.gov,false,
2023-01-05 13:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,725.94,823.0,9.22,3.76,eia.gov,false,
2023-01-05 14:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,727.61,824.41,9.43,3.65,eia.gov,false,
2023-01-05 15:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,716.65,813.71,9.54,3.58,eia.gov,false,
2023-01-05 16:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,713.34,810.56,9.45,3.44,eia.gov,false,
2023-01-05 17:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,710.59,807.75,9.46,3.27,eia.gov,false,
2023-01-05 18:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,706.36,803.24,9.7,3.29,eia.gov,false,
2023-01-05 19:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,705.3,801.89,9.85,3.34,eia.gov,false,
2023-01-05 20:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,705.8,802.51,9.69,3.34,eia.gov,false,
2023-01-05 21:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,704.54,801.04,9.86,3.41,eia.gov,false,
2023-01-05 22:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,713.98,810.94,9.35,3.23,eia.gov,false,
2023-01-05 23:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,719.68,817.12,8.95,3.33,eia.gov,false,
2023-01-06 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,721.66,819.22,8.77,3.4,eia.gov,false,
2023-01-06 01:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,717.61,815.06,8.81,3.41,eia.gov,false,
2023-01-06 02:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,734.25,830.85,8.85,3.33,eia.gov,false,
2023-01-06 03:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,735.11,831.89,8.52,2.99,eia.gov,false,
2023-01-06 04:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,738.63,835.71,8.24,2.71,eia.gov,false,
2023-01-06 05:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,728.53,825.52,8.53,2.66,eia.gov,false,
2023-01-06 06:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,731.89,829.33,8.09,2.34,eia.gov,false,
2023-01-06 07:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,726.49,824.11,8.11,2.17,eia.gov,false,
2023-01-06 08:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,736.64,835.38,7.12,1.71,eia.gov,false,
2023-01-06 09:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,736.87,835.74,7.1,1.73,eia.gov,false,
2023-01-06 10:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,737.07,835.34,7.59,2.22,eia.gov,false,
2023-01-06 11:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,750.62,848.82,7.41,2.45,eia.gov,false,
2023-01-06 12:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,741.13,840.11,7.32,2.88,eia.gov,false,
2023-01-06 13:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,741.8,840.88,7.32,3.02,eia.gov,false,
2023-01-06 14:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,741.53,840.61,7.38,2.99,eia.gov,false,
2023-01-06 15:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,739.69,838.89,7.3,2.66,eia.gov,false,
2023-01-06 16:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,735.14,834.39,7.37,2.5,eia.gov,false,
2023-01-06 17:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,729.52,828.41,7.61,2.45,eia.gov,false,
2023-01-06 18:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,726.83,825.6,7.79,2.36,eia.gov,false,
2023-01-06 19:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,719.3,818.29,7.72,2.01,eia.gov,false,
2023-01-06 20:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,713.35,812.08,7.94,2.01,eia.gov,false,
2023-01-06 21:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,712.24,810.88,7.93,1.94,eia.gov,false,
2023-01-06 22:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,719.95,818.97,7.51,1.82,eia.gov,false,
2023-01-06 23:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,724.47,823.44,7.49,2.14,eia.gov,false,
2023-01-07 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,726.09,825.0,7.58,2.32,eia.gov,false,
2023-01-07 01:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,725.85,824.91,7.44,2.31,eia.gov,false,
2023-01-07 02:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,730.75,830.42,7.05,2.16,eia.gov,false,
2023-01-07 03:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,725.34,824.07,7.59,2.17,eia.gov,false,
2023-01-07 04:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,742.85,841.41,7.18,1.88,eia.gov,false,
2023-01-07 05:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,737.11,835.48,7.43,1.76,eia.gov,false,
2023-01-07 06:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,730.19,828.19,7.83,1.83,eia.gov,false,
2023-01-07 07:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,729.86,827.85,7.94,2.01,eia.gov,false,
2023-01-07 08:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,725.45,823.32,8.15,2.1,eia.gov,false,
2023-01-07 09:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,722.06,819.74,8.4,2.21,eia.gov,false,
2023-01-07 10:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,716.86,813.81,9.01,2.58,eia.gov,false,
2023-01-07 11:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,725.39,822.45,8.76,2.68,eia.gov,false,
2023-01-07 12:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,727.99,824.83,8.9,2.96,eia.gov,false,
2023-01-07 13:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,733.24,830.53,8.45,2.83,eia.gov,false,
2023-01-07 14:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,734.79,832.25,8.3,2.83,eia.gov,false,
2023-01-07 15:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,733.33,830.69,8.43,2.87,eia.gov,false,
2023-01-07 16:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,748.36,845.08,8.52,2.97,eia.gov,false,
2023-01-07 17:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,746.74,843.29,8.63,2.96,eia.gov,false,
2023-01-07 18:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,740.91,837.31,8.76,2.84,eia.gov,false,
2023-01-07 19:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,739.43,835.94,8.64,2.73,eia.gov,false,
2023-01-07 20:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,736.04,832.35,8.84,2.77,eia.gov,false,
2023-01-07 21:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,737.44,834.04,8.62,2.63,eia.gov,false,
2023-01-07 22:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,738.32,834.6,8.76,2.71,eia.gov,false,
2023-01-07 23:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,752.26,848.72,8.36,2.78,eia.gov,false,
2023-01-08 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,753.94,850.13,8.62,2.85,eia.gov,false,
2023-01-08 01:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,751.2,847.46,8.66,2.8,eia.gov,false,
2023-01-08 02:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,752.15,848.61,8.58,2.77,eia.gov,false,
2023-01-08 03:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,757.21,853.89,8.31,2.51,eia.gov,false,
2023-01-08 04:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,776.92,872.44,8.51,2.43,eia.gov,false,
2023-01-08 05:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,742.97,838.83,9.03,2.44,eia.gov,false,
2023-01-08 06:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,732.98,828.72,9.24,2.12,eia.gov,false,
2023-01-08 07:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,725.71,821.0,9.72,2.34,eia.gov,false,
2023-01-08 08:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,722.81,817.69,10.01,2.53,eia.gov,false,
2023-01-08 09:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,728.58,823.77,9.75,2.48,eia.gov,false,
2023-01-08 10:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,727.49,822.38,9.98,2.62,eia.gov,false,
2023-01-08 11:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,724.88,819.45,10.24,2.82,eia.gov,false,
